lat,long
53.564485,-113.562705
51.030789,-114.008836
50.955118,-113.969792
50.955118,-113.969792
51.082631,-114.139072
50.591872,-113.901644
51.268227,-114.037677
53.54821,-113.36809
53.54821,-113.36809
53.49784,-113.527031
53.49784,-113.527031
53.49784,-113.527031
53.549509,-113.48593
53.549509,-113.48593
53.48598,-113.46476
53.48598,-113.46476
49.716184,-112.800586
53.62707057,-113.6118142
54.4138811,-110.2330575
54.4138811,-110.2330575
-111.971449,54.76516
54.215961,-111.503304
54.604935,-110.452637
-111.8480948,50.5602515
50.049003,-110.681328
51.947025,-114.697645
52.425703,-113.729128
52.240901,-113.76548
52.298677,-113.79354
52.298677,-113.79354
55.1963,-119.3968
55.102222,-118.772639
55.176667,-118.8075
55.176667,-118.8075
54.014272,-119.091568
-119.182871,55.303244
55.402778,-118.281389
-117.604994,56.18657
-117.604994,56.18657
53.5545,-113.1444
53.53209,-113.32098
53.22002357,-114.9839737
53.593824,-116.395877
53.30156091,-114.2015721
53.42723159,-117.5439834
53.3927365,-117.5846086
53.63312227,-114.4200468
53.1325994,-117.0913947
56.44928,-111.03722
56.44928,-111.03722
57.19823,-111.59962
57.19823,-111.59962
56.996265,-111.5941017
56.996265,-111.5941017
55.63233,-111.078872
55.63233,-111.078872
57.24118,-111.722081
57.24118,-111.722081
58.7084,-111.1764
58.7084,-111.1764
57.3489,-111.6396909
57.3489,-111.6396909
57.14908,-111.64262
57.14908,-111.64262
57.18945,-111.64045
57.18945,-111.64045
56.73344,-111.39047
56.73344,-111.39047
56.75135,-111.47637
56.75135,-111.47637
55.90329,-110.749756
55.90329,-110.749756
55.62141,-111.17269
55.62141,-111.17269
56.2124673,-110.9091168
56.2124673,-110.9091168
57.25919722,-111.0385833
57.25919722,-111.0385833
51.062445,-115.166321
55.028093,-118.752293
55.033039,-118.74976
51.05876,-115.16614
51.060121,-115.153891
56.261901,-117.283887
51.06805,-115.1957
51.061402,-115.16163
53.564485,-113.562705
54.4138811,-110.2330575
52.97472,-112.76269
51.0758333,-115.1280556
55.265201,-114.489984
55.263042,-114.512197
52.98838,-112.78179
54.142719,-115.686889
51.2927,-114.0134
50.6765,-113.8794
56.4489,-111.0368
55.2094,-119.4299
54.268,-110.7398
50.5657,-111.8978
53.8034,-112.9262
56.4696,-116.3777
51.0447,-114.0719
52.0935,-114.7395
51.038,-113.8424
53.698,-112.6377
54.4642,-110.1732
55.6314,-111.0839
53.2215,-114.9767
53.5461,-113.4937
53.5854,-116.4337
53.6029,-112.8638
58.7133,-111.1575
57.1868,-111.6368
57.1868,-111.6368
56.7266,-111.379
53.6962,-113.2164
53.3441,-114.3268
53.8277,-113.3249
55.1707,-118.7885
56.1893,-117.6105
50.5767,-113.8716
53.3991,-117.5794
55.8455,-110.9055
54.7742,-111.9661
53.7599,-112.7774
53.7902,-112.5578
49.6956,-112.8451
55.3274,-119.1799
54.6341,-110.2995
50.029,-110.7032
52.269,-113.8115
53.952,-113.1089
53.6539,-113.6293
54.2969,-111.4533
53.1333,-117.0833
55.598523,-111.038807
53.5327,-113.1553
49.7818,-112.1497
54.2069,-113.0014
53.3958,-114.7633
55.1549,-119.1412
