"","location","recordingDate","method","taskLength","taskComments"
"1","457-NE","2023-05-17 06:05:00","None",60,NA
"2","457-NE","2023-05-21 05:55:00","None",60,NA
"3","457-NE","2023-05-24 05:51:00","None",60,NA
"4","457-NW","2023-05-17 06:02:00","None",60,NA
"5","457-NW","2023-05-21 05:55:00","None",60,NA
"6","457-NW","2023-05-24 05:51:00","None",60,NA
"7","457-SW","2023-05-17 06:02:00","None",60,NA
"8","457-SW","2023-05-21 05:55:00","None",60,NA
"9","457-SW","2023-05-24 05:51:00","None",60,NA
"55","1154-NE","2023-05-15 06:05:00","None",60,NA
"56","1154-NE","2023-05-21 05:55:00","None",60,NA
"57","1154-NE","2023-05-24 05:51:00","None",60,NA
"58","1154-NW","2023-05-15 06:05:00","None",60,NA
"59","1154-NW","2023-05-21 05:55:00","None",60,NA
"60","1154-NW","2023-05-24 05:51:00","None",60,NA
"61","1154-SE","2023-05-15 06:05:00","None",60,NA
"62","1154-SE","2023-05-21 05:55:00","None",60,NA
"63","1154-SE","2023-05-24 05:51:00","None",60,NA
"64","1154-SW","2023-05-15 06:05:00","None",60,NA
"65","1154-SW","2023-05-21 05:55:00","None",60,NA
"66","1154-SW","2023-05-24 05:51:00","None",60,NA
"88","1249-NE","2023-05-15 06:05:00","None",60,NA
"89","1249-NE","2023-05-21 05:55:00","None",60,NA
"90","1249-NE","2023-05-24 05:51:00","None",60,NA
"91","1249-NW","2023-05-15 06:05:00","None",60,NA
"92","1249-NW","2023-05-21 05:55:00","None",60,NA
"93","1249-NW","2023-05-24 05:51:00","None",60,NA
"94","1249-SE","2023-05-15 06:05:00","None",60,NA
"95","1249-SE","2023-05-21 05:55:00","None",60,NA
"96","1249-SE","2023-05-24 05:51:00","None",60,NA
"97","1249-SW","2023-05-15 06:05:00","None",60,NA
"98","1249-SW","2023-05-21 05:55:00","None",60,NA
"99","1249-SW","2023-05-24 05:51:00","None",60,NA
